,Crop_Year,Season,W_Production,Rounds
1,1997,Autumn     ,68269.71034,1
2,1997,Summer     ,323670.53,2
3,1997,Winter     ,622082.1283,3
4,1998,Autumn     ,69246.42163,4
5,1998,Summer     ,428180.4855,5
6,1998,Winter     ,536723.8416,6
7,1999,Autumn     ,80132.27236,7
8,1999,Summer     ,379232.8555,8
9,1999,Winter     ,586710.9004,9
10,2000,Autumn     ,70452.96641,10
11,2000,Summer     ,404268.9985,11
12,2000,Winter     ,550144.5122,12
13,2001,Autumn     ,73933.29153,13
14,2001,Summer     ,378131.825,14
15,2001,Winter     ,659337.9183,15
16,2002,Autumn     ,80037.33683,16
17,2002,Summer     ,352427.9508,17
18,2002,Winter     ,660149.1806,18
19,2003,Autumn     ,73352.8605,19
20,2003,Summer     ,358471.6218,20
21,2003,Winter     ,671492.4384,21
22,2004,Autumn     ,70022.53371,22
23,2004,Summer     ,348279.074,23
24,2004,Winter     ,706064.316,24
25,2005,Autumn     ,61433.65014,25
26,2005,Summer     ,331679.9605,26
27,2005,Winter     ,701230.6974,27
28,2006,Autumn     ,53911.52756,28
29,2006,Summer     ,377332.8018,29
30,2006,Winter     ,723806.4508,30
31,2007,Autumn     ,58491.37012,31
32,2007,Summer     ,395066.5794,32
33,2007,Winter     ,676118.7381,33
34,2008,Autumn     ,65760.50097,34
35,2008,Summer     ,356144.6541,35
36,2008,Winter     ,722716.8138,36
37,2009,Autumn     ,51895.23537,37
38,2009,Summer     ,377630.8949,38
39,2009,Winter     ,694960.4497,39
40,2010,Autumn     ,58450.57023,40
41,2010,Summer     ,385877.814,41
42,2010,Winter     ,588127.8676,42
43,2011,Autumn     ,56591.6557,43
44,2011,Summer     ,311175.1942,44
45,2011,Winter     ,737350.6184,45
46,2012,Autumn     ,60403.49393,46
47,2012,Summer     ,341090.0506,47
48,2012,Winter     ,750589.0995,48
49,2013,Autumn     ,63252.99622,49
50,2013,Summer     ,375177.8182,50
51,2013,Winter     ,745197.7035,51
52,2014,Autumn     ,69520.50253,52
53,2014,Summer     ,373626.0196,53
54,2014,Winter     ,782212.8845,54
55,2015,Autumn     ,77786.62558,55
56,2015,Summer     ,380712.5338,56
57,2015,Winter     ,777368.6702,57
58,2016,Autumn     ,68186.40884,58
59,2016,Summer     ,334542.7915,59
60,2016,Winter     ,686615.1925,60
61,2017,Autumn     ,70813.3671,61
62,2017,Summer     ,384789.8695,62
63,2017,Winter     ,686125.1661,63
64,2018,Autumn     ,56982.26827,64
65,2018,Summer     ,387773.9281,65
66,2018,Winter     ,698515.3435,66
67,2019,Autumn     ,51445.42805,67
68,2019,Summer     ,391490.1957,68
69,2019,Winter     ,702619.9528,69
